customer_city,total_price
campos dos goytacazes,42680.47
campos gerais,679.1700000000001
campos novos,2571.94
campos sales,1853.7800000000002
campos verdes,413.04
camutanga,385.34000000000003
canaa,69.54
canaa dos carajas,1991.3600000000001
cananeia,838.8900000000001
canapi,377.32
canapolis,725.4000000000001
canarana,1486.9
canavieiras,1087.84
candeal,176.65
candeias,2655.83
candeias do jamari,338.74
candelaria,673.1
candido de abreu,439.92
candido godoi,1005.8399999999999
candido mendes,316.58000000000004
candido mota,1934.89
candido rodrigues,134.3
candido sales,472.5199999999999
candiota,899.5999999999999
candoi,79.5
canela,2798.26
canelinha,1012.72
cangucu,2067.46
canhotinho,430.49
caninde,814.2
caninde de sao francisco,359.83
canitar,317.91999999999996
canoas,35325.74
canoinhas,5400.53
cansancao,1281.2
cantagalo,2840.79
cantanhede,735.85
canto do buriti,674.83
canudos,232.89000000000001
capanema,1705.06
capao bonito,3622.17
capao da canoa,5806.11
capao da porteira,215.13
capao do cipo,400.99
capao do leao,1254.66
caparao,64.42
capela,889.1699999999998
capela de santana,417.53000000000003
capela do alto,1004.25
capela do alto alegre,56.78
capela nova,121.27
capelinha,2968.12
capetinga,239.37
capim branco,187.17
capim grosso,660.78
capinopolis,1277.95
capinzal,1469.23
capinzal do norte,460.6
capistrano,72.16
capitao,293.0
capitao andrade,199.0
capitao eneas,98.84
capitao leonidas marques,512.09
capitao poco,540.89
capitolio,590.12
capivari,5363.37
capivari de baixo,1028.73
capivari do sul,197.95
capoeiras,190.53
caputira,590.6600000000001
caracol,111.1
caraguatatuba,16390.62
carai,626.69
caraiba,487.15
caraibas,249.8
carajas,646.5600000000001
carambei,456.25
carandai,1386.44
carangola,5248.01
carapebus,786.52
carapicuiba,38761.55
caratinga,11267.4
caraubas,1246.76
caravelas,466.78
carazinho,2466.74
carbonita,841.1200000000001
cardoso,1095.32
cardoso moreira,616.88
careacu,169.58999999999997
cariacica,20681.13
caridade,99.9
carinhanha,451.5
carire,236.28
cariri do tocantins,354.26
caririacu,519.14
carius,618.6899999999999
carlinda,245.67000000000002
carlopolis,901.18
carlos barbosa,3015.42
carlos chagas,198.46
carmesia,280.63
carmo,1839.51
carmo da cachoeira,370.64
carmo da mata,578.61
carmo de minas,699.53
carmo do cajuru,1932.42
carmo do paranaiba,4652.95
carmo do rio claro,2013.63
carmo do rio verde,206.32
carmolandia,167.45
carmopolis,163.45
carmopolis de minas,1756.7199999999998
carnaiba do sertao,99.1
carnauba dos dantas,168.45000000000002
carnaubais,429.65000000000003
carnaubal,265.88
carneirinho,345.03
carolina,500.69
carpina,2600.23
carrancas,180.62
caruaru,13247.67
carutapera,251.23000000000002
carvalhopolis,308.84
casa branca,1492.88
casa nova,1269.54
casca,1628.94
cascalho rico,85.92
cascavel,30475.77
caseiros,152.66
casimiro de abreu,4035.45
cassia,364.41
cassia dos coqueiros,90.17
cassilandia,2150.71
castanhal,4500.22
castanheira,189.39
castanheiras,80.8
castelandia,688.41
castelo,2050.54
castelo do piaui,824.6500000000001
castilho,3152.09
castro,4786.99
castro alves,101.76
cataguases,5533.950000000001
catalao,6440.9
catanduva,11610.41
catanduvas,834.99
catarina,295.29
catas altas,1322.95
catende,1941.6799999999998
catigua,788.52
catole do rocha,5125.9400000000005
catu,1763.24
catu de abrantes,1295.8600000000001
catuipe,655.72
caturama,122.68
caucaia,8465.31
cavalcante,228.07
caxambu,2245.96
caxambu do sul,34.6
caxias,2604.15
caxias do sul,53830.45
caxingo,53.84
ceara-mirim,351.02
cedral,1956.8700000000001
cedro,356.11
cedro de sao joao,2235.98
cedro do abaete,58.09
ceilandia,137.68
celina,208.23
celso ramos,1440.94
centenario,162.47
centenario do sul,465.35
central,142.89
central de santa helena,158.76
centralina,45.089999999999996
centro novo do maranhao,705.62
cerejeiras,161.23
ceres,2116.38
cerqueira cesar,4474.9
cerquilho,4194.36
cerrito,77.57
cerro azul,250.18
cerro grande,68.02
cerro grande do sul,222.36
cerro largo,907.81
cerro negro,153.32
cesario lange,2209.06
ceu azul,525.29
cezarina,31.72
cha de alegria,108.94999999999999
cha grande,186.48999999999998
chacara,226.28
chale,156.22
chapada,1545.3300000000002
chapada do norte,411.86999999999995
chapada dos guimaraes,854.78
chapada gaucha,528.01
chapadao do ceu,1343.25
chapadao do lageado,321.90000000000003
chapadao do sul,1913.4099999999999
chapadinha,287.05999999999995
chapeco,18167.670000000002
charqueada,1404.82
charqueadas,2125.02
charrua,141.63
chaval,179.45
chavantes,1154.14
chaveslandia,277.51
chiapetta,148.15
chopinzinho,211.14
chorozinho,398.42
chorrocho,73.18
chui,908.16
cianorte,6015.15
cicero dantas,4247.76
cidade gaucha,950.1
cidade ocidental,876.57
cidelandia,528.8
cidreira,769.02
cipo,230.12
cipo-guacu,78.71
ciriaco,252.74
claraval,197.04
claro dos pocoes,123.67999999999999
claudia,418.38
claudio,3761.78
clementina,472.98
clevelandia,218.19
coaraci,1468.1200000000001
coari,1259.0400000000002
cocais,281.3
cocal,1722.69
cocal do sul,4080.85
cocalinho,576.56
cocalzinho de goias,203.08
cocos,73.27000000000001
codo,3163.9800000000005
coelho neto,418.6
coimbra,55.01
coite do noia,111.01
colatina,8953.11
colider,2943.95
colina,762.25
colinas,2050.06
colinas do tocantins,643.0799999999999
colmeia,180.69
colniza,875.49
colombia,457.24
colombo,9386.61
colonia castrolanda,1041.71
colonia jordaozinho,1071.03
colonia leopoldina,531.85
colonia vitoria,406.44000000000005
colorado,1724.34
colorado do oeste,334.64
coluna,344.56
combinado,54.629999999999995
comendador levy gasparian,746.56
comercinho,144.65
comodoro,2504.2799999999997
conceicao,175.24
conceicao da aparecida,1248.72
conceicao da barra,398.59
conceicao da feira,1471.14
conceicao da ibitipoca,55.09
conceicao das alagoas,1641.4
conceicao das pedras,412.05
conceicao de macabu,2035.17
conceicao do almeida,120.14
conceicao do araguaia,1773.8400000000001
conceicao do caninde,181.81
conceicao do castelo,658.0
conceicao do coite,1307.04
conceicao do formoso,215.24
conceicao do jacuipe,247.07999999999998
conceicao do mato dentro,1606.34
conceicao do para,899.2
conceicao do rio verde,970.15
conceicao do tocantins,433.96999999999997
conceicao dos ouros,714.92
conchal,2464.88
conchas,1907.8500000000001
concordia,7275.18
concordia do para,1120.9
condado,1071.1100000000001
conde,881.52
condeuba,73.83
condor,352.52
confins,444.25
confresa,1418.31
congonhal,568.19
congonhas,3618.83
congonhinhas,338.86
conquista,602.4200000000001
conquista d'oeste,154.04
